,oxy,deoxy
URA1_RIB1,0.26,0.37
URA2_URA1_RIB1,0.44,0.66
URA1_RIB1_RIB2,0.42,0.34
URA1_RIB1_RIB3,0.41,0.42
URA2_URA1_RIB1_RIB2,0.35,0.49
URA2_URA1_RIB1_RIB3,0.38,0.49
URA1_RIB1_RIB2_RIB3,0.5,0.34
URA1_RIB1_RIB2_P1,0.47,0.34
URA1_RIB1_RIB3_P1,0.3,0.38
