,oxy,deoxy
CYO1_RIB1,0.21,0.38
CYO2_CYO1_RIB1,0.18,0.3
CYO1_RIB1_RIB2,0.43,0.38
CYO1_RIB1_RIB3,0.35,0.35
CYO2_CYO1_RIB1_RIB2,0.42,0.36
CYO2_CYO1_RIB1_RIB3,0.49,0.45
CYO1_RIB1_RIB2_RIB3,0.52,0.36
CYO1_RIB1_RIB2_P1,0.5,0.37
CYO1_RIB1_RIB3_P1,0.29,0.39
