,oxy,deoxy
P1_P2,0.22,0.22
P2_P3,0.16,0.18
RIB3_P1,0.26,0.28
RIB1_RIB2_P1,0.23,0.25
RIB1_RIB3_P1,0.29,0.37
RIB2_P1_P2,0.15,0.16
RIB3_P1_P2,0.25,0.25
P1_P2_P3,0.88,0.88
RIB1_RIB2_P1_P2,0.28,0.28
RIB1_RIB3_P1_P2,0.29,0.28
RIB2_P1_P2_P3,0.3,0.26
RIB3_P1_P2_P3,0.16,0.16
