,oxy,deoxy
ADE1_RIB1,0.26,0.47
RIB1_RIB2,0.56,0.53
RIB1_RIB3,0.51,0.58
RIB2_RIB3,0.6,0.55
ADE2_ADE1_RIB1,0.2,0.18
ADE1_RIB1_RIB2,0.3,0.3
ADE1_RIB1_RIB3,0.16,0.28
ADE2_ADE1_RIB1_RIB2,0.33,0.41
ADE2_ADE1_RIB1_RIB3,0.41,0.43
ADE1_RIB1_RIB2_RIB3,0.4,0.27
